연령,합계,시간,발생건수
합계,203130,0시~2시,5968
20세이하,6960,0시~2시,400
21~30세,29076,0시~2시,1645
31~40세,30304,0시~2시,1156
41~50세,36480,0시~2시,923
51~60세,46938,0시~2시,969
61~64세,18578,0시~2시,354
65세이상,31841,0시~2시,396
합계,203130,2시~4시,2801
20세이하,6960,2시~4시,256
21~30세,29076,2시~4시,808
31~40세,30304,2시~4시,540
41~50세,36480,2시~4시,372
51~60세,46938,2시~4시,430
61~64세,18578,2시~4시,143
65세이상,31841,2시~4시,194
합계,203130,4시~6시,3762
20세이하,6960,4시~6시,162
21~30세,29076,4시~6시,666
31~40세,30304,4시~6시,511
41~50세,36480,4시~6시,562
51~60세,46938,4시~6시,808
61~64세,18578,4시~6시,373
65세이상,31841,4시~6시,604
합계,203130,6시~8시,10725
20세이하,6960,6시~8시,176
21~30세,29076,6시~8시,1271
31~40세,30304,6시~8시,1437
41~50세,36480,6시~8시,1902
51~60세,46938,6시~8시,2758
61~64세,18578,6시~8시,1158
65세이상,31841,6시~8시,1875
합계,203130,8시~10시,19654
20세이하,6960,8시~10시,309
21~30세,29076,8시~10시,2103
31~40세,30304,8시~10시,2858
41~50세,36480,8시~10시,3699
51~60세,46938,8시~10시,4733
61~64세,18578,8시~10시,1930
65세이상,31841,8시~10시,3846
합계,203130,10시~12시,20729
20세이하,6960,10시~12시,325
21~30세,29076,10시~12시,2098
31~40세,30304,10시~12시,2542
41~50세,36480,10시~12시,3584
51~60세,46938,10시~12시,5140
61~64세,18578,10시~12시,2164
65세이상,31841,10시~12시,4670
합계,203130,12시~14시,23422
20세이하,6960,12시~14시,555
21~30세,29076,12시~14시,2777
31~40세,30304,12시~14시,3264
41~50세,36480,12시~14시,4302
51~60세,46938,12시~14시,5454
61~64세,18578,12시~14시,2314
65세이상,31841,12시~14시,4549
합계,203130,14시~16시,24640
20세이하,6960,14시~16시,740
21~30세,29076,14시~16시,2837
31~40세,30304,14시~16시,3307
41~50세,36480,14시~16시,4272
51~60세,46938,14시~16시,5969
61~64세,18578,14시~16시,2527
65세이상,31841,14시~16시,4766
합계,203130,16시~18시,27502
20세이하,6960,16시~18시,982
21~30세,29076,16시~18시,3388
31~40세,30304,16시~18시,3919
41~50세,36480,16시~18시,4861
51~60세,46938,16시~18시,6716
61~64세,18578,16시~18시,2665
65세이상,31841,16시~18시,4602
합계,203130,18시~20시,29483
20세이하,6960,18시~20시,1205
21~30세,29076,18시~20시,4655
31~40세,30304,18시~20시,4644
41~50세,36480,18시~20시,5461
51~60세,46938,18시~20시,6768
61~64세,18578,18시~20시,2562
65세이상,31841,18시~20시,3608
합계,203130,20시~22시,20164
20세이하,6960,20시~22시,1004
21~30세,29076,20시~22시,3610
31~40세,30304,20시~22시,3429
41~50세,36480,20시~22시,3862
51~60세,46938,20시~22시,4507
61~64세,18578,20시~22시,1508
65세이상,31841,20시~22시,1790
합계,203130,22시~24시,14280
20세이하,6960,22시~24시,846
21~30세,29076,22시~24시,3218
31~40세,30304,22시~24시,2697
41~50세,36480,22시~24시,2680
51~60세,46938,22시~24시,2686
61~64세,18578,22시~24시,880
65세이상,31841,22시~24시,941
